TaxId	Species	SubPhylum	Class	Order	Family	Genus
1232801	Amphibalanus_amphitrite	Crustacea	Thecostraca	Balanomorpha	Balanidae	Amphibalanus
96803	Armadillidium_nasatum	Crustacea	Malacostraca	Isopoda	Armadillidiidae	Armadillidium
210409	Portunus_trituberculatus	Crustacea	Malacostraca	Decapoda	Portunidae	Portunus
6832	Tigriopus_californicus	Crustacea	Hexanauplia	Harpacticoida	Harpacticidae	Tigriopus
1923959	Trinorchestia_longiramus	Crustacea	Malacostraca	Amphipoda	Talitridae	Trinorchestia
6689	Penaeus_vannamei	Crustacea	Malacostraca	Decapoda	Penaeidae	Penaeus
1965070	Dinothrombium_tinctorium	Chelicerata	Arachnida	Trombidiformes	Trombidiidae	Dinothrombium
299467	Leptotrombidium_deliense	Chelicerata	Arachnida	Trombidiformes	Trombiculidae	Leptotrombidium
7515	Ctenocephalides_felis	Hexapoda	Insecta	Siphonaptera	Pulicidae	Ctenocephalides
6973	Blattella_germanica	Hexapoda	Insecta	Blattodea	Ectobiidae	Blattella
105785	Cryptotermes_secundus	Hexapoda	Insecta	Blattodea	Kalotermitidae	Cryptotermes
